0, 0.00000,  0.33744, -0.33744, 0.11386
1, 1.00000,  0.34323, 0.65677, 0.43135
2, 0.00000,  0.23239, -0.23239, 0.05400
3, 0.00000,  0.34340, -0.34340, 0.11792
4, 0.00000,  0.30208, -0.30208, 0.09125
5, 0.00000,  0.38181, -0.38181, 0.14578
6, 0.00000,  0.39409, -0.39409, 0.15531
7, 1.00000,  0.35256, 0.64744, 0.41918
8, 0.00000,  0.46437, -0.46437, 0.21564
9, 0.00000,  0.37635, -0.37635, 0.14164
10, 0.00000,  0.41019, -0.41019, 0.16825
11, 0.00000,  0.34425, -0.34425, 0.11851
12, 0.00000,  0.40065, -0.40065, 0.16052
13, 0.00000,  0.27573, -0.27573, 0.07603
14, 0.00000,  0.33609, -0.33609, 0.11296
15, 0.00000,  0.34915, -0.34915, 0.12190
16, 0.00000,  0.27651, -0.27651, 0.07646
17, 0.00000,  0.27230, -0.27230, 0.07415
18, 0.00000,  0.36573, -0.36573, 0.13376
19, 1.00000,  0.46018, 0.53982, 0.29141
20, 0.00000,  0.37979, -0.37979, 0.14424
21, 0.00000,  0.29073, -0.29073, 0.08453
22, 0.00000,  0.25816, -0.25816, 0.06665
23, 0.00000,  0.28500, -0.28500, 0.08122
24, 0.00000,  0.49938, -0.49938, 0.24938
25, 0.00000,  0.09635, -0.09635, 0.00928
26, 0.00000,  0.42061, -0.42061, 0.17691
27, 0.00000,  0.33951, -0.33951, 0.11527
28, 1.00000,  0.40014, 0.59986, 0.35983
29, 1.00000,  0.51747, 0.48253, 0.23284
30, 1.00000,  0.53091, 0.46909, 0.22004
31, 1.00000,  0.42305, 0.57695, 0.33288
32, 0.00000,  0.35459, -0.35459, 0.12574
33, 1.00000,  0.50173, 0.49827, 0.24827
34, 0.00000,  0.27018, -0.27018, 0.07300
35, 0.00000,  0.30452, -0.30452, 0.09273
36, 0.00000,  0.46859, -0.46859, 0.21958
37, 0.00000,  0.25431, -0.25431, 0.06468
38, 0.00000,  0.26353, -0.26353, 0.06945
39, 1.00000,  0.38377, 0.61623, 0.37973
40, 0.00000,  0.44770, -0.44770, 0.20044
41, 0.00000,  0.39405, -0.39405, 0.15528
42, 0.00000,  0.36827, -0.36827, 0.13562
